Date,"Linux","Debian","Ubuntu","Red Hat Enterprise Linux","Windows XP","Windows 7","Windows 8","Windows 8.1","Windows Vista","Windows 10"
2015-08-18,7463,1780,656,1246,3554,5226,3510,2587,2577,14424
2015-08-19,7140,1776,633,1268,3268,4814,3117,2249,2344,14130
2015-08-20,7129,1659,589,1247,3150,4628,3151,2193,2343,12755
2015-08-21,6325,1544,497,1046,3064,4305,2949,2095,2270,12007
2015-08-22,5401,1208,478,449,2571,3679,2498,1873,1928,11510
2015-08-23,5270,1284,493,479,2684,3943,2855,2014,2085,11489
2015-08-24,6895,1599,651,1232,4475,5402,3630,2663,3231,12838
2015-08-25,8225,1744,589,1310,4283,5200,3608,2573,2904,12136
2015-08-26,8578,1796,593,1330,3646,4986,3230,2400,2473,11054
2015-08-27,7046,1616,550,1233,3271,4499,2934,2118,2192,11536
2015-08-28,6057,1493,556,999,2980,4116,2750,1944,2051,10962
2015-08-29,4708,1235,396,472,2616,3447,2309,1801,1846,15406
2015-08-30,5073,1253,459,462,2634,4231,2683,1817,2010,10278
2015-08-31,6972,1562,542,1121,3165,4660,2786,1888,2085,11224
2015-09-01,7050,1584,570,1245,3189,4422,3011,1940,2260,11005
2015-09-02,7301,1598,588,1293,3185,4432,2965,2481,2373,10791
2015-09-03,6943,1537,605,1270,3015,4416,2857,2002,2103,9993
2015-09-04,6358,1494,530,1012,2863,4364,2756,1805,1936,9193
2015-09-05,4877,1206,428,451,2367,3448,2298,1640,1748,8573
2015-09-06,5113,1368,456,537,2729,3956,2497,1707,1874,8799
2015-09-07,6322,1652,552,913,3076,4520,2692,1843,1996,9128
2015-09-08,7751,1665,605,1234,3385,4425,2806,1963,2445,9027
2015-09-09,7540,1697,563,1301,3028,4570,2981,1941,2058,9193
2015-09-10,7523,1749,599,1234,3116,4530,2707,1980,2115,9069
2015-09-11,6845,1510,565,1117,2829,4021,2580,1693,2009,8515
2015-09-12,5286,1178,461,479,2359,4012,2517,1570,1662,7826
2015-09-13,6514,1298,442,521,2523,3560,2333,1549,1790,7781
2015-09-14,7559,1750,587,1230,3103,4254,2799,1841,2153,8797
2015-09-15,7371,1738,586,1335,3069,4063,2718,1782,2117,8818
2015-09-16,7393,1721,593,1191,3035,4300,2624,1828,2040,8377
2015-09-17,7496,1569,566,1234,3068,4131,2539,1727,1910,8348
2015-09-18,6801,1512,517,1032,2924,3940,2475,1671,1823,8057
2015-09-19,5115,1430,470,465,2511,3241,2066,1466,1640,7634
2015-09-20,5193,1316,486,469,2536,3292,2228,1518,1702,7662
2015-09-21,7028,1778,600,1211,2921,4051,2513,1761,2087,8076
2015-09-22,7462,1765,567,1242,3319,4277,2691,1797,2586,8147
2015-09-23,7076,1643,617,1226,2995,3993,2654,1752,2025,7811
2015-09-24,6403,1533,658,1227,2921,3650,2226,1667,1968,7499
2015-09-25,6110,1512,558,1007,2605,3477,2245,1685,1825,7257
2015-09-26,4911,1233,473,480,2217,2873,1932,1459,1572,6553
2015-09-27,5741,1260,449,518,2343,3040,2074,1510,1673,6757
2015-09-28,7406,1524,572,1190,2835,3697,2564,1814,1979,7612
2015-09-29,7346,1616,633,1221,2821,4019,2458,1730,1886,7383
2015-09-30,7543,1662,632,1303,2853,3997,2463,1722,2029,7734
2015-10-01,6449,1610,615,1207,2792,3664,2406,1650,1875,7447
2015-10-02,6131,1584,542,1050,2508,3677,2329,1626,1846,7178
2015-10-03,4574,1162,444,503,2198,3286,1862,1557,1657,6970
2015-10-04,5039,1286,455,502,2473,3539,2259,1549,1804,7358
2015-10-05,7015,1618,584,1247,2978,3960,2511,1732,1964,8170
2015-10-06,10568,4349,674,1355,2949,4041,2488,1671,1973,8371
2015-10-07,8324,1728,674,1317,3233,4141,2606,1694,2143,8563
2015-10-08,7030,4305,664,1304,3516,4404,2509,1677,2288,7749
2015-10-09,6642,5417,599,1123,3218,3810,2282,1533,2289,7412
2015-10-10,5673,3898,510,666,2725,3158,1990,1490,2105,8178
2015-10-11,6377,2706,498,522,2504,3286,1920,1386,1715,8121
2015-10-12,6885,1607,589,1307,3341,4083,2421,1615,2377,7967
2015-10-13,6866,3055,675,1455,2741,4004,2323,1653,1921,9519
2015-10-14,6842,5045,669,1348,2701,3891,2423,1734,1936,8252
2015-10-15,6534,5020,685,1215,2872,4019,2366,1828,1958,8000
2015-10-16,5771,1555,570,1158,2575,3753,2256,1632,1784,7392
2015-10-17,4866,1271,469,507,2513,3159,2001,1450,1960,6789
2015-10-18,4985,1292,451,467,2537,3291,1999,1532,1771,6954
2015-10-19,6471,1550,620,1267,3050,3952,2315,1746,2081,7200
2015-10-20,6393,1652,715,1339,2906,3854,2425,1665,2019,7011
2015-10-21,6211,1624,708,1272,2737,3951,2293,1686,1900,6982
2015-10-22,6007,1758,837,1236,2638,3818,2288,1630,2031,6795
2015-10-23,5697,1597,726,1081,2526,3429,2142,1490,1849,6910
2015-10-24,4468,1262,524,459,2285,2951,1822,1312,1546,6209
2015-10-25,4868,1286,467,442,2616,3066,1796,1383,1732,6143
2015-10-26,6419,1639,659,1154,2547,3320,2214,1439,1828,6680
2015-10-27,6376,1637,623,1253,2645,3490,2081,1480,1847,6364
2015-10-28,6226,1668,579,1336,2664,3445,2100,1486,1851,6689
2015-10-29,6239,1627,567,1179,2593,3510,2061,1474,1808,6754
2015-10-30,5979,1564,537,1103,3124,3297,1951,1381,1675,6998
2015-10-31,4675,1267,456,513,2194,2825,1640,1222,1616,6091
2015-11-01,5105,1229,518,511,2156,2797,1698,1271,1513,6294
2015-11-02,6399,1761,648,1216,2580,3400,2280,1466,1893,6996
2015-11-03,6465,1649,567,1281,2692,3694,2175,1568,2030,6692
2015-11-04,7792,1675,665,1358,2903,3727,2269,1568,1935,6841
2015-11-05,6510,1679,631,1373,2837,3526,2163,1502,1991,7035
2015-11-06,6200,1552,581,1156,2436,3356,1989,1436,1790,7029
2015-11-07,4768,1386,462,473,1994,2775,1733,1256,1576,6504
2015-11-08,4906,1364,483,506,2205,2837,1894,1379,1572,6533
2015-11-09,6331,1587,553,1208,2539,3543,2018,1402,1882,7086
2015-11-10,6731,1580,554,1198,2751,3778,2166,1498,2057,8074
2015-11-11,5983,1510,549,1066,2901,3687,2045,1477,2277,7316
2015-11-12,7149,1777,595,1193,2811,3862,2261,1540,2048,9960
2015-11-13,5643,1641,596,1042,2868,3758,2216,1623,2089,9934
2015-11-14,4035,1104,460,430,2177,3087,1891,1420,1686,8763
2015-11-15,4545,1192,486,493,2233,3217,1956,1384,1779,8028
2015-11-16,5839,1515,542,1195,2741,3677,2153,1520,2066,8314
2015-11-17,6203,1569,544,1245,2613,3595,2016,1453,1960,7780
2015-11-18,6215,1576,524,1260,2596,3649,2162,1559,2056,7894
2015-11-19,6366,1678,582,1362,2615,3585,2207,1452,1956,7582
2015-11-20,5546,1558,552,1161,3057,3836,2380,1822,2288,7628
2015-11-21,4480,1191,393,534,2251,2867,1851,1301,1731,6759
2015-11-22,4576,1257,439,533,2263,3072,1848,1357,1702,6746
2015-11-23,6598,1556,571,1274,2527,3589,2146,1555,1831,7012
2015-11-24,6287,1659,529,1186,2562,3583,2085,1498,1895,6730
2015-11-25,5606,1418,580,1085,2593,3494,2062,1486,1892,7316
2015-11-26,5627,1446,509,933,2391,3274,2039,1484,1672,7155
2015-11-27,5234,1388,480,801,2376,3072,1991,1486,1750,7633
2015-11-28,4225,1126,414,497,2142,3110,1782,1370,1681,7271
2015-11-29,4604,1251,417,505,2344,3170,2011,1511,1896,7511
2015-11-30,5979,1521,555,1390,2863,3720,2123,1540,1951,8219
2015-12-01,5945,1568,590,2707,2685,3757,2099,1497,1913,7907
2015-12-02,5841,1557,549,1338,2763,3646,2148,1549,2026,8319
2015-12-03,6077,1503,487,1274,2634,3502,2029,1521,1902,7445
2015-12-04,5551,1493,481,1001,2265,3256,1929,1315,1711,6898
2015-12-05,4509,1170,403,446,2267,2766,1689,1271,1624,6733
2015-12-06,5284,1224,425,516,2108,2904,1833,1242,1728,7089
2015-12-07,6054,1500,564,1179,2547,3573,2129,1520,1949,7686
2015-12-08,6236,1552,533,1236,2703,3677,2494,1649,1874,7452
2015-12-09,6025,1527,515,1328,2561,3512,2176,1570,1898,7698
2015-12-10,5993,1540,541,1201,2490,3432,2120,1465,1788,7193
2015-12-11,5544,1339,505,1061,2371,4855,1939,1285,1829,6672
2015-12-12,4204,1186,452,480,2133,2895,1672,1182,1619,6493
2015-12-13,4318,1145,401,472,2177,3062,1814,1254,1655,6728
2015-12-14,5919,1540,516,1181,2517,3333,2051,1443,1807,7126
2015-12-15,5839,1601,491,1218,2417,3294,1930,1374,1730,6771
2015-12-16,5920,1475,481,1206,2444,3207,1872,1321,1668,6844
2015-12-17,6059,1394,546,1094,2254,3059,1698,1269,1646,6858
2015-12-18,4873,1405,497,1032,2024,2777,1673,1139,1516,6336
2015-12-19,4029,1137,413,420,1865,2499,1548,1075,1369,5822
2015-12-20,4012,1210,391,437,1853,2686,1526,1175,1461,6357
2015-12-21,4952,1369,437,942,2243,2873,1665,1302,1532,6492
2015-12-22,5287,1348,427,909,2330,2973,1750,1292,1550,6514
2015-12-23,4598,1312,455,864,2002,2699,1566,1104,1542,6080
2015-12-24,4638,1090,360,560,1755,2570,1430,1031,1364,5629
2015-12-25,3406,982,321,325,1669,2388,1447,1073,1287,5640
2015-12-26,3749,1181,412,366,1822,2481,1479,1173,1488,5951
2015-12-27,3990,1119,443,360,1910,2661,1585,1208,1485,6021
2015-12-28,5178,1430,512,787,2310,3050,1836,1389,1680,6844
2015-12-29,5288,1763,497,741,2245,2942,1700,1282,1718,6401
2015-12-30,5048,5509,512,727,2285,2942,1857,1376,1694,6100
2015-12-31,5350,11562,469,563,1773,2527,1424,1070,1411,5177
2016-01-01,4250,3874,381,333,1791,2370,1365,1065,1335,5355
2016-01-02,4674,2932,493,441,2078,2849,1616,1173,1614,6220
2016-01-03,4580,2302,560,422,2316,3170,1853,1393,1738,6088
2016-01-04,6336,2798,581,1093,2455,3742,2109,1480,1929,7093
2016-01-05,6852,2567,681,1305,2708,3863,2148,1446,2038,7050
2016-01-06,6547,2317,547,1189,2729,3766,2244,1381,2023,6735
2016-01-07,6654,2202,556,1248,2764,3899,2242,1493,2013,7080
2016-01-08,5819,1882,556,1145,2550,3466,2008,1511,1808,7087
2016-01-09,4717,1492,433,449,2425,3024,1845,1273,1802,6285
2016-01-10,4681,1355,442,436,2475,3075,1855,3379,1818,6223
2016-01-11,6306,1818,545,1312,2654,3782,2175,1578,1959,7026
2016-01-12,6351,1844,592,1380,3136,4756,3648,2283,2460,7803
2016-01-13,7073,1932,631,1343,2989,4944,4312,2747,2383,8276
2016-01-14,6589,1792,552,1318,2650,4180,2709,1932,2069,7361
2016-01-15,6098,2085,520,1153,2526,3620,2230,1847,2000,6663
2016-01-16,4748,1327,436,490,2185,3472,1976,1480,1854,6324
2016-01-17,5056,1448,476,496,2387,3734,1998,1466,1846,6468
2016-01-18,6495,1713,569,1250,3012,4486,2414,1644,2187,6844
2016-01-19,7201,1857,745,1491,2893,4188,2367,1687,2206,7085
2016-01-20,7324,1919,651,1529,3398,4463,2163,1560,2119,6749
2016-01-21,8048,1789,702,1472,3271,4213,2229,1485,2401,6689
2016-01-22,6100,1785,640,1221,2644,3687,1935,1455,1872,6340
2016-01-23,4790,1394,514,520,2377,3230,1820,1361,1844,5975
2016-01-24,5148,1528,516,590,2494,3265,1752,1327,1895,5711
2016-01-25,6655,1870,657,1279,2857,3989,2160,1573,2117,6842
2016-01-26,6681,1866,632,1346,2885,3900,2296,1578,2194,7054
2016-01-27,6848,2023,711,1736,2959,3894,2229,1554,2052,7266
2016-01-28,6722,1805,659,1420,2889,4043,2278,1644,2109,7375
2016-01-29,5942,1811,534,1229,3092,3897,2182,1614,2798,6832
2016-01-30,4599,1375,485,544,2607,3322,1782,1390,2569,6343
2016-01-31,4912,1401,491,992,2359,3346,1872,1489,2193,6589
2016-02-01,6702,1803,627,1424,3135,4122,2256,1668,2535,7231
2016-02-02,6634,1747,613,1422,3222,4394,2388,1644,2494,7386
2016-02-03,6932,1810,620,1484,3256,4243,2391,1796,2507,8066
2016-02-04,6719,1881,642,1468,3125,4190,2221,1613,2523,7470
2016-02-05,6243,1696,626,1208,2702,3827,2030,1444,2171,6592
2016-02-06,4749,1283,442,574,2401,3204,1724,1283,2047,6062
2016-02-07,4841,1381,455,542,2308,3345,1800,1385,2052,5931
2016-02-08,6431,1650,541,1272,2748,3712,2036,1422,2108,6468
2016-02-09,6569,1698,541,1377,2845,3762,1947,1539,2148,6775
2016-02-10,6679,1699,605,1393,2917,3915,2073,1488,2169,6939
2016-02-11,6922,1703,653,1357,3034,4138,2114,1587,2158,6724
2016-02-12,6137,1625,644,1110,2717,3808,1995,1550,2168,6354
2016-02-13,4621,1336,519,524,2328,3416,1802,1394,1950,5930
2016-02-14,4665,1354,500,562,2204,3162,1755,1379,1887,6145
2016-02-15,6255,1742,653,1236,2774,3717,2086,1460,2103,6712
2016-02-16,6721,1680,614,1470,2840,3971,2176,1530,2075,6350
2016-02-17,7002,1706,724,1529,3065,3931,2017,1491,2596,6250
2016-02-18,6913,1730,639,1478,3399,3984,2000,1435,2172,6517
2016-02-19,6146,1695,685,1272,2569,3775,1849,1313,2035,6318
2016-02-20,5164,1294,517,619,2267,3137,1561,1238,1809,5766
2016-02-21,4933,1459,557,577,2424,3391,1725,1321,1974,5794
2016-02-22,6762,1963,656,1408,2701,3928,1885,1394,2067,6291
2016-02-23,6646,1944,646,1532,2939,3907,2039,1365,2131,6254
2016-02-24,6853,1773,651,1453,2748,3976,1954,1460,2253,6267
2016-02-25,6584,1808,644,1425,2966,3951,2084,1492,2129,6555
2016-02-26,5799,1668,619,1195,2975,3642,1962,1414,2094,6142
2016-02-27,4698,1446,512,532,2544,3341,1789,1205,1846,5399
2016-02-28,4904,1408,480,518,2623,3274,1705,1227,1908,5764
2016-02-29,6693,1870,672,1417,3014,3887,2185,1397,2144,6282
2016-03-01,6720,2954,615,1464,3095,4115,2013,1453,2288,6663
2016-03-02,6279,1693,682,1448,3214,4432,2606,1446,2179,7299
2016-03-03,6369,1754,665,1383,3215,3955,2139,1394,2345,6344
2016-03-04,5705,1733,555,1223,2901,3615,1908,1312,2296,6274
2016-03-05,4542,1405,533,529,2767,3369,1720,1213,2225,6179
2016-03-06,4509,1373,480,496,2966,3460,1896,1400,2188,6177
2016-03-07,6091,1798,599,1373,3535,4217,2206,1568,2641,6832
2016-03-08,7299,1866,657,1393,4033,4445,2411,1753,2919,7162
2016-03-09,6404,1707,661,1385,3849,4435,2333,1625,2681,7308
2016-03-10,6278,1848,664,1310,3332,4151,2800,1482,2457,6957
2016-03-11,5590,1649,549,1215,2980,3786,1944,1373,2180,6599
2016-03-12,4711,1353,483,555,2961,3501,1747,1240,2422,6171
2016-03-13,4782,1346,482,508,2944,3474,2269,1367,2312,6003
2016-03-14,6449,1712,626,1354,3236,3918,2045,1481,2842,6418
2016-03-15,6609,1608,655,1421,2982,4001,1912,1489,2442,6287
2016-03-16,6264,1565,657,1345,2936,3965,1920,1383,2317,5898
2016-03-17,5873,1566,660,1323,3052,4169,1852,1312,2544,5899
2016-03-18,5088,1453,583,1201,2495,4034,1652,1224,2092,5722
2016-03-19,4292,1239,416,476,2218,3002,1520,1126,1685,5379
2016-03-20,5128,1325,520,550,2090,2966,1486,1127,1674,5462
2016-03-21,5942,1622,593,1296,2596,4054,2283,1282,1949,6213
2016-03-22,5567,1555,595,1268,2648,3457,1782,1313,1947,5387
2016-03-23,5323,1680,615,1615,2582,3330,1629,1181,1801,5177
2016-03-24,5033,1546,588,1315,2314,3292,1649,1204,1867,5470
2016-03-25,4390,1410,548,839,2228,3160,1506,1152,1826,5414
2016-03-26,3720,1144,407,494,1993,2860,1428,1091,1725,5314
2016-03-27,4012,1125,461,460,2102,2640,1283,1020,1680,5178
2016-03-28,5206,1409,619,1034,2384,3206,1631,1170,1884,5434
2016-03-29,5766,1600,659,1312,2530,3400,1687,1231,1982,5746
2016-03-30,6581,1732,778,1359,2577,3726,1890,1366,2036,6093
2016-03-31,6113,1672,812,1247,2410,3550,1788,1277,2192,6606
2016-04-01,5228,1576,795,1227,2367,3242,1691,1147,2049,5604
2016-04-02,4172,1152,583,601,2144,2776,1399,1090,1705,5218
2016-04-03,4271,1334,559,555,2185,2926,1549,1113,1755,5301
2016-04-04,5680,1497,786,1319,2336,3377,1657,1138,1846,5811
2016-04-05,5738,1524,723,1403,3066,3555,1812,1307,1981,6039
2016-04-06,5575,1526,794,1330,2555,3601,1770,1108,1984,5816
2016-04-07,5752,1605,737,1365,2533,3632,1763,1284,1956,5897
2016-04-08,5293,1394,734,1094,2353,3564,1552,1179,1725,5384
2016-04-09,4978,1187,561,489,1988,3150,1427,1096,1542,5210
2016-04-10,5051,1309,596,483,2177,2992,1476,1106,1699,5119
2016-04-11,6606,1581,784,1284,3122,4105,2458,1429,3039,6550
2016-04-12,6172,1601,757,1310,2772,3992,1820,1312,2109,6458
2016-04-13,5970,1472,666,1414,2792,4095,1930,1373,1999,6848
2016-04-14,5632,1573,748,1325,2628,3782,1714,1188,2058,7710
2016-04-15,5427,1431,703,1139,2561,3399,1663,1244,1977,6219
2016-04-16,4199,1139,558,478,2224,3014,1385,1030,1697,4962
2016-04-17,4332,1152,574,512,2325,2859,1435,1053,1648,4784
2016-04-18,5658,1468,786,1261,2710,3447,1694,1254,1986,4978
2016-04-19,5971,1504,915,1404,2900,3708,1682,1256,1898,5390
2016-04-20,6037,1479,965,1392,2531,3525,1744,1235,1882,5302
2016-04-21,5803,1592,1367,1289,2643,3504,1752,1273,1891,5038
2016-04-22,5136,1559,999,1115,2691,3258,1611,1153,1868,4960
2016-04-23,4355,1380,731,564,2147,2935,1393,1088,1727,4678
2016-04-24,4302,1388,684,509,2325,2903,1408,1017,1729,4655
2016-04-25,5651,1664,880,1285,2552,3413,1671,1184,1895,5397
2016-04-26,6103,1597,815,1323,2573,3491,1678,1257,2039,5270
2016-04-27,5718,1574,790,1287,2526,3345,1684,1213,1939,5343
2016-04-28,5738,1445,679,1255,2691,3306,1576,1070,1837,5143
2016-04-29,5212,1450,639,1074,2795,3073,1505,1122,1640,4961
2016-04-30,3967,1213,515,496,2003,2556,1343,941,1447,4383
2016-05-01,4038,1211,552,451,2144,2686,1419,1004,1703,4726
2016-05-02,5164,1470,640,1086,2578,3197,1582,1120,1823,5116
2016-05-03,5728,1510,604,1327,2635,3509,1691,1159,1837,5255
2016-05-04,6221,1502,593,1317,2570,3566,1593,1141,2097,5086
2016-05-05,5535,1359,577,1123,3123,3453,1596,1156,2106,5156
2016-05-06,4991,1342,584,1049,2589,3441,1582,1083,1772,5026
2016-05-07,4137,1066,445,437,2194,2848,1342,1017,1517,4312
2016-05-08,4094,1160,423,467,2273,2830,1541,1077,1730,4514
2016-05-09,5571,1546,548,1231,2664,3584,1714,1143,2154,5178
2016-05-10,5796,1624,597,1520,2769,3659,1895,1140,2149,5290
2016-05-11,6467,1479,580,1552,2567,3543,1696,1252,2119,5643
2016-05-12,5324,1464,555,1309,2865,3472,1779,1313,2328,5413
2016-05-13,5107,1409,502,1154,2193,3077,1523,1062,1618,5031
2016-05-14,4222,1167,451,479,2115,2759,1298,965,1405,4719
2016-05-15,4214,1165,492,457,2167,2748,1414,977,1527,4499
2016-05-16,5542,1499,660,1299,2836,4137,2702,1300,1793,5234
2016-05-17,5974,1576,626,1405,2669,3749,1869,1143,1923,5518
2016-05-18,5792,1584,651,1342,2763,3908,1958,1325,1895,5750
2016-05-19,5592,1498,685,1287,2513,3760,1743,1176,1859,5651
2016-05-20,5576,1514,637,1141,2526,3515,1717,1181,1721,5587
2016-05-21,5029,1150,421,463,2228,2941,1463,1021,1579,5069
2016-05-22,4746,1252,462,520,2242,3087,1539,1144,1667,5217
2016-05-23,5620,1461,566,1336,2736,3781,1930,1298,1914,6024
2016-05-24,5791,1563,607,1426,2919,3748,1897,1285,1886,5887
2016-05-25,5853,1566,580,1395,2904,3952,1992,1223,1865,5743
2016-05-26,5756,1527,547,1461,3069,3762,1897,1409,1919,5545
2016-05-27,6036,1509,513,1103,2883,3563,1686,1129,1751,5411
2016-05-28,4557,1115,426,452,2381,2982,1590,978,1552,5083
2016-05-29,4169,1171,439,445,2483,3123,1628,1014,1610,4941
2016-05-30,5167,1347,497,935,3022,3483,1810,1149,1760,5470
2016-05-31,5353,1430,596,1276,3266,3780,1926,1308,1966,5793
2016-06-01,5213,1413,592,1317,3318,3720,1951,1283,1955,5923
2016-06-02,5501,1537,601,1303,3034,3578,1886,1259,1819,5624
2016-06-03,5802,1399,560,1164,3393,3910,2112,1438,1847,5351
2016-06-04,4038,1237,379,503,2921,3183,1607,1014,1452,4793
2016-06-05,4935,1200,436,516,3706,3418,1754,1216,1566,4979
2016-06-06,5116,1559,495,1303,3488,3442,1825,1221,1763,5448
2016-06-07,5537,1377,574,1418,3233,3886,1900,1222,1853,5767
2016-06-08,5380,1482,573,1384,3452,3493,1738,1093,1777,5336
2016-06-09,5290,1307,617,1339,3349,3551,1831,1089,1618,5303
2016-06-10,5018,1365,538,1144,3406,3313,1784,1128,1667,4952
2016-06-11,4138,1062,431,496,3149,3067,1671,1009,1427,4336
2016-06-12,4170,1168,466,464,3966,3041,1659,984,1570,4578
2016-06-13,5436,1611,627,1218,4053,3620,1861,1166,2005,5565
2016-06-14,5621,1623,644,1370,3689,3607,1795,1174,2031,5868
2016-06-15,5808,1528,624,1357,3759,3847,2176,1324,1849,6336
2016-06-16,5753,1518,564,1416,3182,3579,2007,1157,1807,5567
2016-06-17,5455,1374,550,1082,3134,3286,1734,1138,1752,5758
2016-06-18,4176,1165,462,491,2820,3032,1663,1106,1521,5020
2016-06-19,4062,1191,476,504,2897,2908,1690,1055,1527,4991
2016-06-20,6611,1529,568,1295,3262,3687,2015,1198,2225,5503
2016-06-21,6245,1515,641,1415,3188,3760,1921,1233,1669,5732
2016-06-22,6010,1450,688,1450,3100,3744,2002,1220,1807,5627
2016-06-23,5867,1420,673,1326,3974,4085,2114,1156,1745,5442
2016-06-24,5356,1248,583,1174,2965,3085,1615,1090,2043,4793
2016-06-25,4460,1028,492,497,2818,3235,1616,969,1455,4541
2016-06-26,4220,1109,503,496,3729,3076,1583,1048,1540,4760
2016-06-27,6321,1341,625,1308,2823,3452,1892,1173,2027,5266
2016-06-28,5955,1519,676,1487,3406,3779,2030,1294,2024,5814
2016-06-29,5830,1570,609,1390,3942,3987,2182,1279,1925,6255
2016-06-30,5415,1306,682,1330,3802,3723,2681,1223,1864,5893
2016-07-01,4767,1324,570,1012,3679,3290,1890,1182,1732,5487
2016-07-02,3958,1070,541,461,3933,3170,1778,1123,1646,4973
2016-07-03,4190,1134,503,485,4260,3520,1962,1208,1676,5260
2016-07-04,5131,1541,617,935,4564,3818,2100,1228,1723,5590
2016-07-05,5346,1666,668,1311,4787,3751,2075,1242,1806,5594
2016-07-06,4957,1501,548,1230,4291,3923,2070,1282,1762,5471
2016-07-07,5211,1719,618,1172,4067,3839,1947,1172,1720,5534
2016-07-08,4712,1813,531,1056,3158,3229,1679,1210,1611,5215
2016-07-09,3977,1239,438,468,3286,2913,1598,1165,1516,4857
2016-07-10,3969,1151,496,456,3390,3114,1692,1214,1544,5209
2016-07-11,5342,1537,629,1256,3016,3401,1690,1104,1629,5525
2016-07-12,5786,1263,681,1325,3004,3643,1891,1184,1639,5578
2016-07-13,6069,1365,764,1347,2721,3588,1816,1290,1703,5701
2016-07-14,5853,1323,547,1316,2748,3227,1771,1096,1599,5532
2016-07-15,5339,1259,525,1069,2622,3010,1598,1092,1497,5188
2016-07-16,4042,1131,427,444,2172,2755,1518,1058,1337,5031
2016-07-17,4192,1094,438,516,2577,3131,1634,1153,1498,5054
2016-07-18,5992,1403,534,1190,2952,3638,1793,1224,1713,5726
2016-07-19,7401,1290,606,1205,3092,3765,2075,1283,1715,5995
2016-07-20,5688,1385,618,1279,3586,3961,2193,1338,1717,6101
2016-07-21,5648,1428,610,1207,3472,4010,2089,1338,1684,6321
2016-07-22,5459,1294,497,1024,3551,3730,1932,1267,1589,5701
